killsplayer_1,killsplayer_2,killsplayer_3,killsplayer_4,killsplayer_6,killsplayer_7,killsplayer_8,killsplayer_9,killsplayer_10,deathsplayer_1,deathsplayer_2,deathsplayer_3,deathsplayer_4,deathsplayer_5,deathsplayer_6,deathsplayer_7,deathsplayer_8,deathsplayer_9,assistsplayer_2,assistsplayer_4,assistsplayer_5,assistsplayer_6,assistsplayer_7,assistsplayer_8,assistsplayer_9,assistsplayer_10,dragon_team100,dragon_team200,riftherald_team100,riftherald_team300,winningTeam,currentGold_1,magicDamageDoneToChampions_1,physicalDamageDoneToChampions_1,trueDamageDoneToChampions_1,totalDamageDoneToChampions_1,goldPerSecond_1,jungleMinionsKilled_1,level_1,minionsKilled_1,timeEnemySpentControlled_1,totalGold_1,xp_1,currentGold_2,magicDamageDoneToChampions_2,physicalDamageDoneToChampions_2,trueDamageDoneToChampions_2,totalDamageDoneToChampions_2,goldPerSecond_2,jungleMinionsKilled_2,level_2,minionsKilled_2,timeEnemySpentControlled_2,totalGold_2,xp_2,currentGold_3,magicDamageDoneToChampions_3,physicalDamageDoneToChampions_3,trueDamageDoneToChampions_3,totalDamageDoneToChampions_3,goldPerSecond_3,jungleMinionsKilled_3,level_3,minionsKilled_3,timeEnemySpentControlled_3,totalGold_3,xp_3,currentGold_4,magicDamageDoneToChampions_4,physicalDamageDoneToChampions_4,trueDamageDoneToChampions_4,totalDamageDoneToChampions_4,goldPerSecond_4,jungleMinionsKilled_4,level_4,minionsKilled_4,timeEnemySpentControlled_4,totalGold_4,xp_4,currentGold_5,magicDamageDoneToChampions_5,physicalDamageDoneToChampions_5,trueDamageDoneToChampions_5,totalDamageDoneToChampions_5,goldPerSecond_5,jungleMinionsKilled_5,level_5,minionsKilled_5,timeEnemySpentControlled_5,totalGold_5,xp_5,currentGold_6,magicDamageDoneToChampions_6,physicalDamageDoneToChampions_6,trueDamageDoneToChampions_6,totalDamageDoneToChampions_6,goldPerSecond_6,jungleMinionsKilled_6,level_6,minionsKilled_6,timeEnemySpentControlled_6,totalGold_6,xp_6,currentGold_7,magicDamageDoneToChampions_7,physicalDamageDoneToChampions_7,trueDamageDoneToChampions_7,totalDamageDoneToChampions_7,goldPerSecond_7,jungleMinionsKilled_7,level_7,minionsKilled_7,timeEnemySpentControlled_7,totalGold_7,xp_7,currentGold_8,magicDamageDoneToChampions_8,physicalDamageDoneToChampions_8,trueDamageDoneToChampions_8,totalDamageDoneToChampions_8,goldPerSecond_8,jungleMinionsKilled_8,level_8,minionsKilled_8,timeEnemySpentControlled_8,totalGold_8,xp_8,currentGold_9,magicDamageDoneToChampions_9,physicalDamageDoneToChampions_9,trueDamageDoneToChampions_9,totalDamageDoneToChampions_9,goldPerSecond_9,jungleMinionsKilled_9,level_9,minionsKilled_9,timeEnemySpentControlled_9,totalGold_9,xp_9,currentGold_10,magicDamageDoneToChampions_10,physicalDamageDoneToChampions_10,trueDamageDoneToChampions_10,totalDamageDoneToChampions_10,goldPerSecond_10,jungleMinionsKilled_10,level_10,minionsKilled_10,timeEnemySpentControlled_10,totalGold_10,xp_10,timestamp,gameMode,gameType,gameVersion,assistsplayer_1,assistsplayer_3,baron_team100,baron_team200,deathsplayer_10,killsplayer_0,riftherald_team200,killsplayer_5
4.0,4.0,1.0,1.0,,5.0,2.0,6.0,1.0,,4.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,1.0,6.0,4.0,,2.0,5.0,4.0,8.0,1.0,3.0,,,200.0,2243.0,1592.0,7401.0,0.0,8994.0,0.0,0.0,13.0,147.0,52430.0,8393.0,10111.0,22.0,328.0,5313.0,524.0,6165.0,0.0,100.0,11.0,21.0,212870.0,7307.0,7932.0,393.0,7131.0,203.0,0.0,7335.0,0.0,0.0,12.0,121.0,230794.0,6323.0,9221.0,368.0,896.0,4008.0,0.0,4905.0,0.0,7.0,11.0,134.0,114955.0,6718.0,7742.0,399.0,1520.0,1388.0,472.0,3381.0,30.0,0.0,8.0,25.0,73601.0,4399.0,4700.0,69.0,1592.0,5483.0,939.0,8014.0,0.0,4.0,12.0,147.0,88533.0,6219.0,8937.0,1003.0,694.0,7706.0,512.0,8913.0,0.0,128.0,11.0,13.0,359940.0,8603.0,8376.0,1335.0,7526.0,1169.0,0.0,8695.0,0.0,4.0,12.0,149.0,532925.0,8170.0,9151.0,1447.0,1850.0,8725.0,946.0,11522.0,0.0,4.0,11.0,172.0,63765.0,9402.0,8550.0,860.0,2336.0,523.0,283.0,3143.0,30.0,0.0,9.0,10.0,114783.0,5910.0,6085.0,1200324.0,CLASSIC,MATCHED_GAME,11.21.403.3002,,6.0,,1.0,3.0,,2.0,1.0
1.0,2.0,2.0,15.0,,4.0,6.0,9.0,7.0,7.0,5.0,6.0,3.0,5.0,4.0,9.0,5.0,4.0,17.0,5.0,7.0,8.0,7.0,6.0,5.0,2.0,,5.0,1.0,,100.0,1244.0,2233.0,7563.0,0.0,9796.0,0.0,0.0,12.0,127.0,596368.0,6694.0,9709.0,1664.0,1296.0,2727.0,0.0,4024.0,30.0,0.0,11.0,27.0,105162.0,6664.0,7333.0,1135.0,7314.0,1823.0,230.0,9368.0,0.0,0.0,12.0,119.0,143130.0,7250.0,9278.0,1054.0,3104.0,12108.0,217.0,15430.0,0.0,85.0,12.0,21.0,182152.0,12093.0,9677.0,597.0,1834.0,6098.0,0.0,7933.0,0.0,0.0,11.0,103.0,1023.0,7372.0,7782.0,223.0,4221.0,1628.0,890.0,6740.0,0.0,0.0,11.0,96.0,145594.0,6473.0,8264.0,1002.0,10656.0,1134.0,60.0,11851.0,30.0,4.0,10.0,34.0,41098.0,6877.0,6409.0,219.0,988.0,9286.0,132.0,10407.0,0.0,8.0,11.0,82.0,401963.0,8689.0,7768.0,336.0,3978.0,7297.0,1160.0,12435.0,0.0,101.0,12.0,11.0,494154.0,9411.0,9541.0,202.0,258.0,15898.0,0.0,16156.0,0.0,0.0,13.0,150.0,147558.0,8752.0,11362.0,1200369.0,CLASSIC,MATCHED_GAME,11.21.403.3002,3.0,8.0,,,4.0,,1.0,6.0
1.0,6.0,5.0,6.0,1.0,8.0,,3.0,1.0,4.0,3.0,,3.0,3.0,4.0,3.0,3.0,5.0,3.0,7.0,7.0,4.0,3.0,,4.0,4.0,1.0,2.0,,,100.0,607.0,3119.0,8676.0,378.0,12174.0,0.0,12.0,12.0,139.0,94597.0,7057.0,9188.0,305.0,5010.0,0.0,1873.0,6884.0,0.0,122.0,12.0,15.0,237766.0,7980.0,8771.0,871.0,879.0,8407.0,646.0,9932.0,0.0,0.0,13.0,158.0,47460.0,9650.0,11365.0,1803.0,857.0,8357.0,0.0,9215.0,0.0,0.0,12.0,154.0,85413.0,9158.0,8971.0,98.0,9437.0,823.0,390.0,10651.0,30.0,0.0,10.0,29.0,127895.0,6108.0,6611.0,446.0,5918.0,1956.0,605.0,8480.0,0.0,4.0,12.0,137.0,946709.0,6921.0,8854.0,1382.0,1158.0,5522.0,450.0,7130.0,0.0,89.0,11.0,16.0,249094.0,8167.0,8001.0,465.0,181.0,2285.0,250.0,2716.0,0.0,10.0,12.0,143.0,80977.0,6320.0,9123.0,585.0,569.0,7055.0,144.0,7769.0,0.0,4.0,10.0,124.0,26157.0,7585.0,6793.0,279.0,8584.0,490.0,441.0,9516.0,30.0,0.0,10.0,33.0,81965.0,5829.0,6338.0,1200323.0,CLASSIC,MATCHED_GAME,11.22.406.3587,4.0,4.0,,,6.0,,2.0,3.0
5.0,10.0,8.0,1.0,3.0,7.0,4.0,10.0,3.0,5.0,4.0,5.0,4.0,9.0,4.0,7.0,7.0,3.0,8.0,3.0,12.0,,6.0,2.0,4.0,9.0,2.0,1.0,1.0,1.0,200.0,293.0,9400.0,669.0,30.0,10100.0,0.0,0.0,13.0,134.0,70163.0,7888.0,10305.0,925.0,716.0,16040.0,1272.0,18029.0,0.0,116.0,13.0,21.0,307149.0,11990.0,10667.0,632.0,435.0,10151.0,874.0,11460.0,0.0,0.0,12.0,102.0,40896.0,8457.0,8971.0,238.0,737.0,3258.0,0.0,3995.0,0.0,4.0,10.0,90.0,8689.0,5338.0,6729.0,301.0,3770.0,557.0,676.0,5003.0,30.0,0.0,10.0,5.0,78233.0,5636.0,6810.0,655.0,5802.0,1602.0,786.0,8191.0,0.0,0.0,13.0,161.0,121702.0,7680.0,10922.0,1015.0,10939.0,3029.0,800.0,14768.0,0.0,84.0,13.0,29.0,494477.0,8915.0,10109.0,550.0,0.0,5497.0,1176.0,6673.0,0.0,0.0,10.0,53.0,73627.0,7131.0,6154.0,131.0,0.0,12301.0,370.0,12672.0,0.0,15.0,11.0,137.0,75291.0,11656.0,7331.0,208.0,3420.0,1181.0,314.0,4915.0,30.0,0.0,10.0,33.0,50081.0,6608.0,6348.0,1200341.0,CLASSIC,MATCHED_GAME,11.22.406.3587,4.0,3.0,,1.0,5.0,,,2.0
5.0,1.0,3.0,2.0,,,,3.0,4.0,1.0,,2.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,6.0,3.0,6.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,,100.0,83.0,0.0,9809.0,1774.0,11584.0,0.0,8.0,13.0,148.0,147385.0,8368.0,10480.0,538.0,169.0,2365.0,0.0,2535.0,0.0,103.0,11.0,10.0,285680.0,6628.0,7991.0,622.0,5571.0,567.0,0.0,6139.0,0.0,0.0,13.0,184.0,216463.0,8157.0,10261.0,988.0,410.0,7123.0,0.0,7533.0,0.0,13.0,11.0,155.0,148637.0,7688.0,8579.0,418.0,2363.0,603.0,0.0,2967.0,30.0,0.0,8.0,28.0,103707.0,4753.0,4762.0,1095.0,827.0,3370.0,559.0,4758.0,0.0,113.0,11.0,5.0,135526.0,6070.0,8341.0,349.0,974.0,520.0,258.0,1752.0,30.0,0.0,9.0,27.0,26629.0,4279.0,5844.0,569.0,509.0,3739.0,1399.0,5648.0,0.0,0.0,11.0,115.0,72283.0,5159.0,8161.0,1060.0,523.0,8120.0,0.0,8643.0,0.0,4.0,11.0,168.0,10010.0,8185.0,7616.0,2039.0,8336.0,371.0,0.0,8707.0,0.0,4.0,13.0,160.0,35416.0,8334.0,10414.0,1200327.0,CLASSIC,CUSTOM_GAME,11.22.406.3587,1.0,3.0,2.0,,2.0,,,1.0
1.0,5.0,5.0,1.0,4.0,7.0,3.0,,,5.0,2.0,1.0,3.0,3.0,1.0,4.0,6.0,1.0,6.0,8.0,7.0,3.0,1.0,2.0,4.0,6.0,3.0,2.0,2.0,,100.0,270.0,0.0,7697.0,892.0,8590.0,0.0,0.0,12.0,147.0,48284.0,6470.0,9196.0,329.0,7987.0,2122.0,352.0,10462.0,0.0,105.0,11.0,28.0,298527.0,8344.0,8449.0,2256.0,0.0,11875.0,0.0,11875.0,0.0,0.0,12.0,138.0,7960.0,9466.0,9225.0,558.0,539.0,6512.0,692.0,7743.0,0.0,10.0,12.0,145.0,74820.0,7678.0,8935.0,950.0,0.0,4556.0,719.0,5276.0,30.0,0.0,9.0,34.0,76572.0,6275.0,5483.0,1355.0,1247.0,10619.0,400.0,12267.0,0.0,12.0,13.0,167.0,36862.0,9530.0,11229.0,1132.0,1503.0,6828.0,190.0,8523.0,0.0,112.0,11.0,10.0,363771.0,8647.0,8252.0,387.0,8876.0,726.0,241.0,9844.0,0.0,0.0,11.0,90.0,218178.0,5942.0,8013.0,221.0,0.0,5085.0,1803.0,6889.0,0.0,0.0,11.0,169.0,10369.0,7191.0,8071.0,789.0,1275.0,340.0,0.0,1615.0,30.0,0.0,8.0,26.0,63111.0,4613.0,4816.0,1200311.0,CLASSIC,MATCHED_GAME,11.22.406.3587,2.0,4.0,1.0,1.0,3.0,,,3.0
5.0,10.0,10.0,11.0,1.0,11.0,2.0,5.0,1.0,3.0,4.0,5.0,5.0,3.0,9.0,3.0,7.0,11.0,3.0,5.0,15.0,3.0,3.0,2.0,1.0,6.0,3.0,1.0,2.0,,100.0,149.0,0.0,16257.0,0.0,16257.0,0.0,13.0,12.0,86.0,124368.0,8894.0,9392.0,1868.0,8193.0,673.0,630.0,9497.0,0.0,76.0,11.0,9.0,106164.0,8133.0,8397.0,126.0,1620.0,14629.0,898.0,17147.0,0.0,16.0,13.0,147.0,81859.0,10670.0,10003.0,1716.0,21989.0,1142.0,130.0,23262.0,0.0,2.0,12.0,131.0,149331.0,9296.0,9602.0,710.0,5093.0,1310.0,0.0,6404.0,30.0,0.0,10.0,4.0,124036.0,6510.0,6337.0,360.0,7015.0,2215.0,0.0,9230.0,0.0,0.0,10.0,84.0,164607.0,5030.0,6633.0,1147.0,1303.0,12080.0,393.0,13777.0,0.0,87.0,13.0,39.0,188951.0,10197.0,10348.0,626.0,5208.0,954.0,652.0,6815.0,0.0,12.0,11.0,102.0,527221.0,6581.0,7320.0,326.0,9030.0,123.0,0.0,9153.0,0.0,0.0,10.0,105.0,147642.0,7001.0,6656.0,132.0,0.0,8256.0,260.0,8516.0,30.0,0.0,10.0,34.0,125845.0,6032.0,6567.0,1200331.0,CLASSIC,MATCHED_GAME,11.16.390.1945,9.0,3.0,1.0,,8.0,,,2.0
5.0,,2.0,3.0,,8.0,7.0,2.0,,3.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,,3.0,5.0,3.0,2.0,3.0,8.0,1.0,3.0,1.0,,100.0,85.0,1408.0,6892.0,2307.0,10609.0,0.0,0.0,13.0,175.0,52519.0,9504.0,10006.0,900.0,310.0,2064.0,32.0,2407.0,0.0,98.0,10.0,4.0,360122.0,5775.0,6913.0,1116.0,5843.0,722.0,947.0,7513.0,0.0,0.0,11.0,146.0,67766.0,7951.0,8337.0,310.0,0.0,7039.0,0.0,7039.0,0.0,16.0,12.0,165.0,42212.0,8625.0,9053.0,1211.0,5950.0,1152.0,305.0,7408.0,30.0,0.0,8.0,18.0,130630.0,5386.0,4941.0,1185.0,448.0,6144.0,0.0,6593.0,0.0,8.0,11.0,98.0,26489.0,5835.0,7875.0,1361.0,1580.0,10733.0,1003.0,13317.0,0.0,118.0,12.0,30.0,353018.0,9861.0,9937.0,753.0,10938.0,830.0,446.0,12215.0,0.0,0.0,13.0,148.0,123378.0,8768.0,10577.0,529.0,212.0,3954.0,0.0,4167.0,0.0,0.0,10.0,108.0,28508.0,5779.0,6944.0,191.0,1948.0,558.0,0.0,2506.0,30.0,0.0,9.0,32.0,18593.0,5136.0,6052.0,1200399.0,CLASSIC,MATCHED_GAME,11.22.406.3587,,2.0,,,1.0,,1.0,
3.0,2.0,3.0,2.0,1.0,5.0,2.0,5.0,6.0,5.0,2.0,3.0,6.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,7.0,8.0,6.0,9.0,1.0,3.0,1.0,,100.0,1192.0,6964.0,1237.0,0.0,8202.0,0.0,0.0,12.0,111.0,692529.0,6392.0,9142.0,751.0,5737.0,172.0,366.0,6276.0,0.0,87.0,11.0,28.0,362582.0,6541.0,8238.0,2632.0,17.0,7497.0,470.0,7985.0,0.0,16.0,13.0,160.0,70498.0,9042.0,11129.0,1066.0,301.0,4298.0,1018.0,5618.0,0.0,12.0,10.0,135.0,269989.0,7316.0,7231.0,443.0,2547.0,1361.0,0.0,3909.0,30.0,0.0,9.0,7.0,132780.0,4942.0,5084.0,813.0,8436.0,2596.0,440.0,11473.0,0.0,0.0,12.0,131.0,770494.0,6413.0,9062.0,53.0,584.0,10307.0,1103.0,11995.0,0.0,114.0,12.0,9.0,374472.0,7913.0,8897.0,733.0,7814.0,484.0,659.0,8958.0,0.0,0.0,12.0,131.0,64837.0,6928.0,9563.0,859.0,141.0,6591.0,2038.0,8770.0,0.0,4.0,11.0,132.0,134171.0,8009.0,8563.0,505.0,4853.0,1418.0,0.0,6271.0,30.0,0.0,10.0,15.0,129727.0,6955.0,6780.0,1200433.0,CLASSIC,MATCHED_GAME,11.20.400.7328,,,,,1.0,,,1.0
5.0,1.0,1.0,1.0,7.0,9.0,7.0,4.0,2.0,7.0,7.0,6.0,5.0,5.0,5.0,2.0,,2.0,2.0,2.0,1.0,5.0,5.0,5.0,9.0,14.0,,4.0,1.0,,200.0,70.0,7263.0,1236.0,0.0,8499.0,0.0,0.0,11.0,128.0,76995.0,8115.0,8510.0,539.0,459.0,5668.0,470.0,6598.0,0.0,83.0,10.0,14.0,319442.0,5929.0,6470.0,301.0,3306.0,320.0,0.0,3626.0,0.0,0.0,11.0,124.0,66946.0,5766.0,7404.0,378.0,204.0,3892.0,692.0,4788.0,0.0,6.0,9.0,87.0,195278.0,5438.0,5345.0,788.0,1686.0,638.0,178.0,2503.0,30.0,0.0,8.0,11.0,106115.0,4048.0,4147.0,791.0,0.0,10380.0,44.0,10424.0,0.0,4.0,12.0,111.0,81957.0,9241.0,8970.0,1025.0,672.0,8045.0,452.0,9170.0,0.0,111.0,12.0,25.0,119096.0,9000.0,9434.0,1865.0,11083.0,2020.0,1665.0,14768.0,0.0,4.0,13.0,170.0,96768.0,10055.0,11234.0,931.0,3246.0,8120.0,178.0,11544.0,0.0,30.0,12.0,142.0,19929.0,9371.0,8619.0,493.0,3878.0,581.0,292.0,4752.0,30.0,0.0,11.0,5.0,30925.0,7028.0,7476.0,1200328.0,CLASSIC,MATCHED_GAME,11.21.403.3002,1.0,1.0,,,,1.0,1.0,1.0
2.0,5.0,9.0,1.0,5.0,1.0,9.0,8.0,1.0,2.0,5.0,7.0,6.0,4.0,4.0,4.0,,4.0,8.0,3.0,15.0,2.0,7.0,5.0,4.0,12.0,1.0,,,,200.0,844.0,1401.0,4095.0,0.0,5497.0,0.0,8.0,12.0,142.0,76938.0,6919.0,9600.0,655.0,370.0,8684.0,402.0,9456.0,0.0,89.0,11.0,9.0,215510.0,7280.0,7763.0,458.0,10767.0,768.0,240.0,11776.0,0.0,0.0,11.0,138.0,11394.0,9543.0,8573.0,439.0,2693.0,5343.0,700.0,8737.0,0.0,1.0,11.0,127.0,792.0,5972.0,7512.0,705.0,4591.0,875.0,0.0,5466.0,30.0,0.0,10.0,1.0,33760.0,5390.0,6181.0,296.0,1674.0,9767.0,0.0,11441.0,0.0,8.0,13.0,166.0,97232.0,10031.0,10801.0,274.0,4433.0,552.0,364.0,5350.0,0.0,92.0,10.0,6.0,283574.0,6974.0,7067.0,1486.0,13222.0,3270.0,1218.0,17711.0,0.0,12.0,13.0,116.0,187062.0,9775.0,10010.0,117.0,0.0,12561.0,230.0,12791.0,0.0,0.0,11.0,132.0,46606.0,8777.0,7940.0,416.0,4821.0,770.0,578.0,6170.0,30.0,0.0,9.0,6.0,108156.0,5816.0,6003.0,1200421.0,CLASSIC,MATCHED_GAME,11.22.406.3587,2.0,5.0,,1.0,6.0,,2.0,1.0
7.0,1.0,7.0,8.0,3.0,8.0,3.0,2.0,1.0,1.0,1.0,7.0,2.0,6.0,6.0,7.0,5.0,4.0,13.0,5.0,13.0,2.0,4.0,5.0,4.0,10.0,2.0,1.0,1.0,,100.0,902.0,1757.0,9940.0,66.0,11763.0,0.0,8.0,13.0,126.0,32468.0,9512.0,10598.0,411.0,9077.0,746.0,352.0,10176.0,0.0,120.0,13.0,34.0,755728.0,8326.0,10243.0,590.0,1853.0,14502.0,0.0,16355.0,0.0,0.0,12.0,140.0,8487.0,8740.0,9579.0,745.0,2918.0,9587.0,609.0,13115.0,0.0,9.0,12.0,150.0,83332.0,9720.0,8739.0,776.0,2923.0,1243.0,356.0,4523.0,30.0,0.0,10.0,30.0,43785.0,6395.0,6974.0,136.0,3755.0,8426.0,429.0,12611.0,0.0,3.0,12.0,163.0,95183.0,8336.0,9260.0,398.0,1467.0,9086.0,1222.0,11776.0,0.0,100.0,12.0,17.0,413263.0,8888.0,8594.0,1035.0,6912.0,1276.0,1500.0,9689.0,0.0,0.0,12.0,111.0,66423.0,6740.0,8848.0,1518.0,559.0,5099.0,0.0,5659.0,0.0,4.0,11.0,139.0,61300.0,6968.0,7786.0,577.0,3563.0,1556.0,536.0,5656.0,30.0,0.0,10.0,31.0,61078.0,5222.0,6339.0,1200355.0,CLASSIC,MATCHED_GAME,11.19.398.9466,4.0,1.0,1.0,,3.0,,1.0,2.0
4.0,11.0,,6.0,1.0,5.0,5.0,10.0,,3.0,1.0,4.0,5.0,8.0,4.0,4.0,1.0,7.0,4.0,9.0,11.0,3.0,4.0,1.0,3.0,11.0,2.0,2.0,,1.0,200.0,806.0,1123.0,12561.0,0.0,13685.0,0.0,8.0,13.0,136.0,76294.0,7621.0,10974.0,436.0,124.0,8374.0,1541.0,10040.0,0.0,109.0,12.0,12.0,183337.0,10596.0,9699.0,248.0,677.0,1729.0,282.0,2688.0,0.0,12.0,12.0,156.0,118281.0,7198.0,9680.0,462.0,4657.0,13085.0,0.0,17742.0,0.0,0.0,11.0,129.0,0.0,8410.0,7574.0,581.0,1752.0,1294.0,326.0,3373.0,30.0,0.0,9.0,28.0,52402.0,5066.0,5361.0,140.0,13.0,6227.0,0.0,6241.0,0.0,0.0,11.0,122.0,162363.0,7080.0,8349.0,158.0,7196.0,640.0,2976.0,10812.0,0.0,104.0,12.0,35.0,283474.0,8183.0,9481.0,430.0,6535.0,880.0,493.0,7909.0,0.0,0.0,14.0,187.0,405806.0,9685.0,12317.0,345.0,2130.0,11986.0,1621.0,15737.0,0.0,9.0,11.0,122.0,40363.0,9095.0,8115.0,223.0,2282.0,1091.0,0.0,3374.0,30.0,0.0,9.0,5.0,141826.0,5623.0,5993.0,1200326.0,CLASSIC,MATCHED_GAME,11.21.403.3002,2.0,4.0,,1.0,5.0,,,
2.0,8.0,4.0,5.0,7.0,6.0,3.0,10.0,9.0,6.0,6.0,7.0,6.0,10.0,1.0,2.0,7.0,7.0,4.0,10.0,12.0,5.0,8.0,14.0,5.0,3.0,,3.0,1.0,,200.0,83.0,2282.0,10843.0,0.0,13125.0,0.0,0.0,11.0,105.0,361675.0,6358.0,7701.0,214.0,8232.0,2831.0,903.0,11967.0,0.0,79.0,11.0,22.0,140696.0,8964.0,8445.0,62.0,1608.0,7269.0,1563.0,10442.0,0.0,0.0,12.0,133.0,101094.0,7837.0,8700.0,467.0,1245.0,11847.0,0.0,13093.0,0.0,0.0,10.0,115.0,101224.0,8182.0,7178.0,697.0,4860.0,715.0,224.0,5800.0,30.0,0.0,9.0,23.0,42250.0,5722.0,5611.0,1641.0,411.0,10817.0,4403.0,15632.0,0.0,16.0,14.0,136.0,211706.0,10066.0,11671.0,142.0,7286.0,1467.0,3496.0,12249.0,0.0,102.0,12.0,34.0,257745.0,9617.0,9171.0,788.0,2012.0,2275.0,504.0,4792.0,30.0,0.0,10.0,28.0,46581.0,6563.0,6891.0,1312.0,317.0,17744.0,41.0,18102.0,0.0,4.0,12.0,149.0,37553.0,11642.0,8699.0,945.0,9356.0,2546.0,2756.0,14659.0,0.0,0.0,13.0,119.0,61249.0,8825.0,10100.0,1200245.0,CLASSIC,MATCHED_GAME,11.22.406.3587,2.0,5.0,,,4.0,,1.0,2.0
,5.0,6.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0,4.0,,5.0,4.0,4.0,2.0,9.0,9.0,,4.0,1.0,,200.0,567.0,5621.0,1249.0,693.0,7564.0,0.0,4.0,12.0,150.0,644979.0,6692.0,9364.0,66.0,0.0,7442.0,2473.0,9916.0,0.0,106.0,12.0,11.0,265210.0,8131.0,9639.0,372.0,6272.0,573.0,502.0,7347.0,0.0,12.0,13.0,127.0,3434.0,8786.0,10845.0,524.0,987.0,5649.0,154.0,6791.0,0.0,4.0,10.0,158.0,11829.0,7524.0,7042.0,178.0,2124.0,870.0,502.0,3496.0,30.0,0.0,8.0,39.0,106548.0,5128.0,4635.0,38.0,0.0,14377.0,848.0,15225.0,0.0,0.0,13.0,165.0,110375.0,8448.0,11317.0,1653.0,3239.0,450.0,303.0,3993.0,0.0,116.0,12.0,21.0,284632.0,7553.0,8957.0,596.0,244.0,6627.0,398.0,7270.0,0.0,0.0,12.0,132.0,78911.0,6836.0,8818.0,1487.0,11565.0,994.0,412.0,12971.0,0.0,4.0,11.0,165.0,156855.0,9162.0,8323.0,602.0,2795.0,1062.0,720.0,4577.0,30.0,0.0,10.0,36.0,14301.0,6277.0,6608.0,1200317.0,CLASSIC,MATCHED_GAME,11.19.398.9466,2.0,2.0,,1.0,5.0,1.0,,1.0
6.0,5.0,2.0,6.0,3.0,4.0,4.0,2.0,3.0,6.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,6.0,6.0,5.0,11.0,4.0,5.0,2.0,7.0,3.0,3.0,,1.0,,100.0,759.0,69.0,6095.0,2770.0,8934.0,0.0,0.0,12.0,113.0,104521.0,8533.0,9458.0,155.0,1449.0,6512.0,619.0,8580.0,0.0,107.0,11.0,18.0,426909.0,8255.0,8443.0,1012.0,5072.0,599.0,310.0,5982.0,0.0,0.0,12.0,143.0,326487.0,7002.0,9692.0,650.0,2000.0,7557.0,0.0,9557.0,0.0,4.0,11.0,149.0,20699.0,8850.0,8143.0,379.0,3265.0,750.0,0.0,4016.0,30.0,0.0,9.0,16.0,119439.0,5503.0,5715.0,393.0,1475.0,8842.0,843.0,11161.0,0.0,4.0,12.0,116.0,131381.0,8168.0,8878.0,680.0,486.0,4833.0,481.0,5802.0,0.0,103.0,12.0,25.0,410919.0,8844.0,9155.0,589.0,524.0,4126.0,880.0,5531.0,0.0,4.0,13.0,171.0,6208.0,9764.0,10392.0,1061.0,0.0,6378.0,1771.0,8150.0,0.0,0.0,10.0,116.0,7101.0,7176.0,6676.0,383.0,0.0,3066.0,710.0,3776.0,30.0,0.0,9.0,26.0,75713.0,5993.0,5324.0,1200456.0,CLASSIC,MATCHED_GAME,11.18.395.7538,5.0,3.0,1.0,,9.0,1.0,1.0,1.0
1.0,6.0,4.0,2.0,3.0,3.0,3.0,6.0,1.0,1.0,5.0,1.0,4.0,5.0,2.0,3.0,1.0,3.0,5.0,4.0,9.0,1.0,3.0,3.0,5.0,13.0,2.0,4.0,1.0,1.0,200.0,643.0,1454.0,4229.0,0.0,5684.0,0.0,4.0,12.0,172.0,30614.0,7393.0,9548.0,606.0,0.0,12497.0,797.0,13295.0,0.0,107.0,12.0,19.0,203632.0,9571.0,8915.0,1140.0,8473.0,775.0,72.0,9320.0,0.0,32.0,13.0,160.0,951709.0,9205.0,10349.0,891.0,726.0,6516.0,0.0,7243.0,0.0,0.0,11.0,173.0,0.0,7581.0,8510.0,165.0,2992.0,529.0,390.0,3912.0,30.0,0.0,9.0,5.0,88849.0,4790.0,5645.0,477.0,569.0,6640.0,3750.0,10960.0,0.0,0.0,12.0,133.0,131388.0,6772.0,8805.0,394.0,801.0,4946.0,652.0,6401.0,0.0,116.0,11.0,15.0,318166.0,7129.0,7938.0,77.0,6086.0,295.0,149.0,6531.0,0.0,0.0,13.0,164.0,56659.0,7337.0,10143.0,183.0,1299.0,9262.0,67.0,10630.0,0.0,0.0,10.0,124.0,10107.0,6933.0,6663.0,866.0,4559.0,1318.0,1153.0,7030.0,30.0,4.0,8.0,23.0,30420.0,5051.0,5008.0,1200315.0,CLASSIC,MATCHED_GAME,11.19.398.9466,,4.0,1.0,1.0,4.0,,,
