,players
357,mode 0
358,pizzaman007
359,love must remain
360,Mr Comet
361,Abused Mid
362,PlsBuffNeeko
363,Calm Antebellum
364,innocenceV9
365,zlz plz win 
366,NY Ma lao shi
367,Witnesss Me
368,Bio1
369,BorgvVz
370,Sweet Tangerine
371,Xingze
372,Millennium Fox
373,No Hay Chance
374,1m Tired
375,ALLMIGHTONLY
376,TUNACADO
377,omero combo
378,xHypoxia
379,VoidOwl
380,Fatez
381,ttv IamAlson
382,Neo Restoration
383,Taffys
384,Narichi
385,Im at the lvl 5
386,Pinkman
387,stacked q
388,Proosia
389,Kyriu
390,jimball234
391,l Grymm l
392,GiftedByGods
393,Lycho
394,Bruder
395,Kayn98
396,ubao
397,Titan Dweevil
398,Shiba lnu
399,King Veer
400,Skarmori
401,Rocktank10
402,11 13 2005
403,BCR x RAM
404,InfiniteLaim
405,Whimsy434
406,Ariendel
407,FA Heartbreak
408,3uphoria
409,DoYouLikeMilktea
410,cliftonbeefy
411,yanderu
412,Piimpinator
413,so daydream
414,Chapter 1
415,Alesi
416,RYCEL
417,Yonsi
418,terryta
419,VX Najuehuo
420,Kaseem
421,Vuckae
422,Crissp
423,upset222
424,hooligan on rift
425,perryjg
426,Spect
427,Viceera
428,xRoyal
429,Le Hanni
430,HydroZenith
431,Pinwinasio
432,Ned
433,Fake smiIes
434,L9 CLAIRO
435,Bzhang
436,JDPayne
437,Unleashed1
438,Fiora
439,Shoubee
440,Nim Chimpsky
441,zhong lu dui ju
442,Angelic 6
443,Infernodan
444,Yura1
445,saltmarwasmid
446,Asmenor
447,Aizo
448,Yue yun zhi feng
449,The Golden King
450,kierky
451,i have a story
452,U Say Ur Horse
453,BatBoyMelee
454,Usni
455,Kshuna
456,Furyhorn
457,Fizz QWQ
458,Kexii1
459,Erased
460,Yat
461,Borb
462,Dandelion YIan
463,need some Iuck
464,bicycIe
465,Mabud
466,IIIllIIIllIIIllI
467,TsundereGun
468,SpicedKimchi
469,Evolves
470,ivyzz
471,Ineza
472,Lost Boy
473,Bie Shang Tou
474,otto is gun
475,MudBone69
476,loljanan
477,KingClueless
478,Cpt Underpants
479,Alfaren
480,Eita lzumi
481,Sopachi
482,Nerner KAT
483,sai desu
484,566
485,afters1
486,woxiangdatapi 
487,GrosGrag
488,Pentaless1 TTV
489,ISO Corvus
490,Yoshi Where
491,Tribute to a Kin
492,humzh
493,Burstshot
494,KillerUnit
495,CHADWlCK
496,WW1
497,nanx1n catcher
498,Kennnyy
499,Milky Way
500,Chalino Sanchez
501,hi im oreki
502,Pransie
503,ShyniRuo
504,fakeryboy
505,The Nine Tail
506,smart play
507,MajesticPony17
508,Funbari Onsen
509,Ambitieux
510,verite
511,zhong guo5
512,Haxorr
513,Joggerss
514,i am a girlboss
515,PatPatKittyKat
516,Exiled Heretic
517,SKT T1 Kaisaa
518,hyperaggression
519,Beyond The Sea
520, Ceros Fan
521,CensoredMercy
522,Max0
523,b solo lane
524,Hi5
525,Topopotamus
526,joebidenwakeup
527,Chaos Return
528,yzfx
529,S Monkey
530,8 Pack Olaf
531,Christopher1
532,Salis
533,INFJ TOP
534,RuhRohRush
535,Shordom
536,adc guts
537,MatchesAL
538,Pure Kawaii
539,needsomehuman
540,SUPREMEGKMOIST
541,Manco
542,DAMIIMAD
543,Memorie Futuro
544,ESG Marlboro
545,SSJ Goku
546,Tavolicious
547,Dior Diore
548,White Paper
549,REN JIAN SHI GE
550,wff011
551,lgneous
552,Zamudo
553,GD Love
554,Burp
555,DanieI Bae
556,Teacuppers
557,k0la
558,Niko Teppei
559,Nighty6
560,PAPA FILTH 
561,EPHESlANS 2 8
562,SHlTBUG
563,XnebaG 
564,tian yi nan wei
565,TempestLoveYuely
566,Zativert Vi
567,Issys Cutie
568,TheAbsoluteZer00
569,Sophism
570,S12 LCS
571,Keusios
572,ChuChuZ
573,Eye of Storm
574,Actually Insane
575,Kiss Me Slow
576,Hu Jiao Xiao Yao
577,Fafn1r
578,Chao Ji Nan Nan
579,Swooshe
580,TheShyWukong
581,Crimsonating
582,TheDankTank
583,DanasaurLoL
584,Quantum
585,Can Win N0 Need
586,King514
587,swooshy
588, Sudzzi
589,Sonic
590,Steefo
591,EDGHyper
592,Unknown Emp
593,boy kitten
594,Herson
595,Rhite Wice
596,Emended
597,Lossiferr
598,Fight me homie
599,Adan
600,good nightt
601,lolSaico
602,Best Cassio On
603,Wackaroni
604,hygge 1
605,Rabadon
606,KIDCUDI666
607,Bloody Mess
608,no invade pls
609,USAjj2
610,Blace
611,Eclipse
612,UF Fyrat
613,Eighty Six
614,Kato Lee
615,Dregonaut
616,KillerQueenYuumi
617,DOKHA
618,SoIitified
619,picapica
620,cy8
621,Ovise
622,tempkezysgqpzsqv
623,CrusherCake
624,KaranTheGreat
625,Repent
626,Ziz
627,Baby Pandah
628,lIllllIIIl
629,support is hard1
630,Annie Bot
631,ChampBl
632,Shes Super Tight
633,rocks908
634,tibs2
635,17shou
636,Augustine
637,Kaizer Morde
638,StyIez
639,FLABREZU
640,ttv Slyther6
641,rzd
642,Fidd 1
643,SlayerSupremelol
644,poome1
645,LightningRex
646,Trevor26
647,CASS7DY
648,CoreTienZ
649,l Love Mandu
650,Katana 0
651,NEED GOTH GF PLZ
652,bwypzb
653,Mercurial
654,The best Steve
655,B Lovee
656,Outsmarted
657,Jezusnpals
658,basalist
659,Ashita
660,Just A Nub IRL
661,Isolde
662,Kill Pending
663,OneButtonHero
664,UwU OwO Rawr X3 
665,OOFAFA
666,Angry game xD
667,bradleyyy
668,B0BBY
669,Autolykus
670,icee dancer
671,McLovin5550
672,TTV loljss
673,sgrug4
674,Hopeless0ne
675,AviIio
676,uNgGwMHilary
677,IceJunSlowly
678,no names to pick
679,Gimmick
680,SakuraAir
681,carrepairshop566
682,VanessaBelieves
683,Wario
684,Eric Wei
685,A little Yuki
686,kkgbyn
687,iSkaarly
688,tempjtshcjycswkv
689,Corgi the Pig
690,FobAsian
691,Joyas
692,Daiyume
693,Sebriiowo
694,soju mashija
695,Dangerous Uncle
696,Kingicepop
697,Tango
698,Chas3
699,Plutx1
700,Spin for Penta
701,nicosoccer11
702,Instincttt
703,parnelly
704,Murasaki Shikibu
705,Berik
706,smooth1e
707,sKILLSHOTz FIRED
708,SHERN
709,FeedTheCatfish
710,GoliathGames
711,Le JunMa
712,SOUPKITCHENCHEF
713,NintendudeX
714,Princess Mico
715,winloss fun
716,Mongolia Yuuji
717,Mixtoour
718,beta boy
719,zYuutor
720,ZombieOrange
721,Swords
722,niniim
723,EU Red
724,LF Noona
725,Swordblue
726,Main Sup
727,Big Pharma
728,JohnnyCap
729,Pure Genesis
730,Kvothe The Brave
731,gaozi
732,DEMON FACT
733,Fated Enigma
734,TES JackeyLove 8
735,Twtv Cupic
736,DabinPenguEmote
737,Pian Zi
738,YoojungHukiriLee
739,NotSporks
740,tutubearr
741,a liability
742,Renascor
743,Reckza
744,Derty
745,RoyalRoy
746,Kelpo
747,e143a143
748,Setije
749,JordanTheBoss
750,Marcutie
751,LegitKorea
752,KetRekt068
753,TL Yeon
754,vaemqrlcxvz
755,sPyke it up
756,sai yes
757,1Maxim
758,DrCalculus
759,Chookie
760,Deenie
761,smallplaypi
762,SparkleBrowniez
763,Gravebloom
764,Chao ren zhen
765,Wentworth Miller
766,Koni
767,Kind Jungle
768,Z o
769,Stabsie
770,XDME
771,Aldorroth
772,The Great Frog
773,Kill Minion
774,Amphy
775,ChocolateBun
776,Alyri OnlyFans
777,Fauntleroy
778,Daddy VIaddy
779,Chloe Moretz x3
780,Rickie
781,Ning Hai
782,xsmako
783,Plutx
784,0 n a t
785,tamakii
786,rockonhi5
787,Wispete
788,MONSTER CHAD GOD
789,Rugaru
790,duo bigfat
791,EvilToffee
792,CyanInkstone
793,v n
794,TheFatInTheCat
795,LockHP
796,JulianC
797,Wubziee
798,BestRivenSiChuan
799,WX Code0103
800,Blitz and Crank
801,Vikala
802,100 Chad
803,Beeklonk
804,01 26 04
805,love junaa
806,A Horny Rhino
807,Sempervirens
808,Sundae Gukbap
809,Xinthus
810,Aevahom
811,MalevolentTitan
812,C9 Chad Draven
813,fdecnadtsal
814,dellzor
815,Goth Squirrel
816,egirl ryze 
817,year of lourlo
818,C9 Copy
819,iybc9o2 q
820,CVU Radar
821,Orchard
822,MyBabeGirlXuan
823,Hafu Jr
824,zzwyw
825,Orange Tempest
826,Pleinair
827,nhozcrazy78
828,Tuna Trajectory
829,Izateylon
830,LEO99
831,Spooky
832,canipi
833,ClearLove20
834,Camp that Bush
835,Furinka3an
836,Gaming Tanker
837,Necroside
838,rly horny
839,l3engee
840,PoopSwag69
841,ellie999
842,Dig Bick Dandito
843,NecroKasier
844,Chimp
845,Tonington
846,Twodog
847,Wounds
848,In The Bible
849,markham mans
850,Kim Down
851,MapleShade
852,Zahnet
853,F0D
854,garlic naan34
855,Scenari0
856,Kimrin
857,Aatrox
858,A D
859,V1papa
860,PCL
861,Meslo
862,why you chasing
863,Renfa
864,ye yu
865,R0UFEN
866,Zyko
867,Th3L0LB0sS
868,FishIord
869,i like mages top
870,Xin baby
871,Heechan
872,Why am l Bad
873,raymondye123
874,Le July
875,Dinka
876,Fear of Max
877,TTea
878,Matches
879,SB Wazabiee
880,maxmg1187
881,LGM Snow
882,AkenoHimejimaDxD
883,Sh4dowFiend
884,Delights Garden
885,glass heart
886,AEightRocks
887,hotaze
888,TheRealPhilip
889,Inexhaustive
890,Super Big Ego
891,Someonehastodoit
892,dumpa
893,sahori
894,sweetvictoree
895,JonnyRockets
896,BronzeVg
897,Coca PH
898,Not2Clean
899,Garrett Meyerson
900,Setoo Kaiba
901,Sleepyz
902,Read John 3 16 
903,TRAFFI UNLEASHED
904,happens lol haha
905,Little Bear Bear
906,Sanchovies
907,Viegod Sabroso
908,Beewitching
909,learning brain
910,VIPERBIGANDA
911,Dragonmini
912,Rexalis
913,Phat Alado Bro
914,C9 eXyu
915,Iuchebine
916,Doxa
917,Navcan
918,10026969
919,iloveyou1234
920,Ferney Sanders
921,asap nocky
922,Feeding Vayne
923,Bluwunk
924,Grovy
925,Midicapa
926,MushroomSteak
927,2oon
928,Vultix
929,CookiesforSanta
930,02 16 2017
931,Bellow1
932,kacia
933,Wx Najuehuo
934,hellstar remina
935,rem
936,Zeyzal
937,Zerokoolkcs
938,Cherry Gum LCL
939,Yasuperior
940,CarryingPB
941,Wan An Husky
942,JungleDiffCrazy
943,jhin worst champ
944,Resilientsupport
945,NoNoYogi
946,LNZ na
947,Komari
948,MaplestoryGMS
949,courante76
950,KevinS ur Savior
951,NA chopsticks
952,baekho
953,ZYQ
954,PROD JG
955,M0N51eur
956,SpazzAD
957,Dragoon
958,Eliasey
959,Stingus
960,Dunlop
961,Le Kill
962,I Shadow I
963,Yao Bu Sheng Qi
964,dfgtredfg4
965,Shrimp Cpt
966,Nunu Main
967,BratEvolved
968,ADC IS GAPPED
969,wong diff
970,Long Hoang 
971,SisterJunky
972,Yorushika Kansei
973,Dragonminkim
974,A5PECT
975,Shockey
976,mind is calm
977,winstonleeyau
978,5 Role Patrol
979,Hai Le Song
980,Arsh
981,wonderboyzc
982,Itstheafternooon
983,AIlured By Day
984,lightrocket2
985,XIAOZHUPEIHANG
986,31798
987,KingOfAbeyance
988,da hei ji ji
989,CaosFury
990,TalkTooMuchMuted
991,Vincenttt
992,BE Han Jae
993,Wofye
994,Nhavilay
995,ChvyFakrShowMakr
996,Netflix and ZiI
997,TSM FrostForest
998,Stringer BeII
999,Okuri
1000,Emilia
1001,davidfighting
1002,Viet Conq Heimer
1003,Lagopotamus
1004,I is UZI
1005,miller68
1006,NIGHTMARE JG
1007,Dannyboy U wU
1008,ohh
1009,Zhadox
1010,Mataz
1011,Yogurt n Granola
1012,Lieutenant Piss
1013,Kreid
1014,Twillie
1015,Huntervault
1016,Camp this Bush
1017,Ixenbay
1018,SL Bullet
1019,xzyzy
1020,S10 SION JG KING
1021,MagsLuvShanks
1022,Antcliff
1023,SugarDaadyy
1024,JG WAP
1025,DeadGemini
1026,Icelandic Hero
1027,BerserkerBV
1028,SkiTzee
1029,SOKO Solo
1030,Invitrix
1031,Rebarded Support
1032,L9KILLINGMACHINE
1033,rovex3
1034,clown maker
1035,ExcaliberPrime
1036,Yunwinter
1037,SeckSi Bacon
1038,always plan ahea
1039,pixxxx
1040,insung
1041,Korena
1042,zMotionz
1043,saving na
1044,callum koi
1045,Stiifo
1046,jlandlol
1047,Last Hit
1048,Infemo
1049,Happy game xDD
1050,Rek It Ralph
1051,Davemon
1052,SPUTIDNAPG
1053,Brand Z
1054,Limitationss
1055,penq
1056,ur Uncle Sam
1057,Asyc
1058,Siekomode
1059,Deng Budao Nile
1060,Marksboy
1061,Senpai Neko
1062,EIated
1063,Ke Ai XIao Mi
1064,Youli
1065,Sakura PaiPai
1066,TheFanged
1067,APA1
1068,Raynarz
1069,Zamudo left nut
1070,KoKoNwoo
1071,ome dot tv
1072,Your Master
1073,LastIy
1074,SOLO QQQQQQ
1075,SnipaXD
1076,Melyn
1077,Clarrisa
1078,needyhenry
1079,Karhus
1080,Koggle
