iter	Logloss
0	0.6924702231
1	0.6918188472
2	0.6911899612
3	0.6906626857
4	0.6899100368
5	0.6892400635
6	0.6887197707
7	0.6883058216
8	0.6876159389
9	0.6870280933
10	0.6862434246
11	0.6854922153
12	0.6847154823
13	0.6840385581
14	0.6834189511
15	0.6827504905
16	0.682047915
17	0.6813390613
18	0.6809234183
19	0.6801440672
20	0.6795715328
21	0.6789652325
22	0.6784954805
23	0.6779253165
24	0.6772282684
25	0.6765779107
26	0.6759967664
27	0.675492068
28	0.6749845787
29	0.6743447317
30	0.6738350956
31	0.6731741583
32	0.6726324428
33	0.6719305118
34	0.6712969464
35	0.6706634965
36	0.670256344
37	0.6697070385
38	0.6693003453
39	0.6686623035
40	0.6680834523
41	0.6674936517
42	0.6668213471
43	0.666400422
44	0.665785406
45	0.6653884177
46	0.6647152631
47	0.6641597166
48	0.6634703823
49	0.6629767234
50	0.6625266588
51	0.6619706773
52	0.6615599709
53	0.6611447118
54	0.6606571031
55	0.6601616346
56	0.65972969
57	0.6592450256
58	0.658843803
59	0.6584990242
60	0.6580261548
61	0.6574692145
62	0.6569659115
63	0.6565755114
64	0.6561232338
65	0.6555775989
66	0.6549997612
67	0.6546654551
68	0.654226689
69	0.6537272693
70	0.653154717
71	0.6527426144
72	0.6522829112
73	0.6518617753
74	0.651578973
75	0.6510534075
76	0.6506732673
77	0.65011179
78	0.6496576884
79	0.6491588729
80	0.6487308444
81	0.6482293456
82	0.6476668577
83	0.6470478483
84	0.6466467141
85	0.6460511501
86	0.6455223689
87	0.6450403681
88	0.6445895685
89	0.6442244027
90	0.6438596328
91	0.6433896956
92	0.642915933
93	0.6424091248
94	0.642016299
95	0.6415252899
96	0.6410735614
97	0.6405006887
98	0.6401174715
99	0.6396476413
100	0.6392425809
101	0.6387054985
102	0.6383659796
103	0.6380623948
104	0.6375578351
105	0.6372397211
106	0.636903269
107	0.6363845068
108	0.6359772479
109	0.6355698985
110	0.635188194
111	0.63473818
112	0.6342984989
113	0.6340161112
114	0.6335278013
115	0.6331425322
116	0.6327301496
117	0.6322875101
